run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,obj_bound
2022-02-14-12-46-34,nonlinear_model,0.0237533678574,3604.949622869492,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-75-0.3-5.json,hop_tsiligirides-1-75-0.3-5,31,30,21,9,645.0,21.5,9.285714285714286,50.0,0.0715654603166646,8.435870126384714,75.0,tsiligirides_hop,1,75,0.3,5,"0,30,25,27,16,14,13,23,22,21,20,24,12,0",335.0,7.09055756938247e-05,73.94002439453631,98.58669919271507,12,4,51.93798449612403,40.0,33.333333333333336,10.625,62.5,0.0709274600361657,41.24233260618947,34.81260394695512,449.92200069
2022-02-14-14-08-11,nonlinear_model,458.964488133,3601.885205984116,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-40-0.3-5.json,hop_tsiligirides-3-40-0.3-5,32,31,22,9,1840.0,59.354838709677416,24.545454545454547,144.44444444444446,0.076741489024969,9.386695470404131,40.0,tsiligirides_hop,3,40,0.3,5,"0,23,22,31,5,12,14,15,19,13,3,26,6,21,0",540.0,0.8499342372826539,39.06902737933318,97.67256844833295,13,1,29.347826086956523,41.935483870967744,7.6923076923076925,24.166666666666668,250.0,0.0723544040298247,21.48047300724527,2.2472205054244214,579.589303445
2022-02-14-14-19-51,nonlinear_model,130.721988135,3602.1232318878174,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-50-0.4-3.json,hop_tsiligirides-3-50-0.4-3,32,31,19,12,1340.0,43.2258064516129,27.894736842105264,67.5,0.0747063482754888,9.386695470404131,50.0,tsiligirides_hop,3,50,0.4,3,"0,21,22,31,10,9,29,28,11,7,26,23,0",320.0,0.408506212921627,46.10663053972685,92.2132610794537,11,3,23.88059701492537,35.483870967741936,27.272727272727277,25.0,40.0,0.0788807238298245,28.278399540132533,4.090476105630954,752.408251749
2022-02-14-14-01-00,nonlinear_model,221.152051878,3616.913006305695,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-25-0.3-5.json,hop_tsiligirides-3-25-0.3-5,32,31,22,9,1800.0,58.064516129032256,25.0,138.88888888888889,0.0735410249036394,9.386695470404131,25.0,tsiligirides_hop,3,25,0.3,5,"0,23,21,26,27,13,3,12,19,22,0",420.0,0.5265525044725341,24.975954599750956,99.9038183990038,9,1,23.33333333333333,29.032258064516128,11.11111111111111,21.25,250.0,0.0777762820841556,16.207535441866398,8.24678438719408,221.152273031
2022-02-14-13-39-04,nonlinear_model,182.682944045,3607.657313585282,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-27-0.4-4.json,hop_tsiligirides-2-27-0.4-4,20,19,12,7,975.0,51.31578947368421,22.916666666666668,100.0,0.0843565246818373,6.18210573440129,27.0,tsiligirides_hop,2,27,0.4,4,"0,12,13,9,14,15,7,10,11,0",225.0,0.8119241957561315,26.9655723255396,99.87249009459111,8,1,23.07692307692308,42.10526315789474,12.5,23.571428571428573,60.0,0.0902397606890142,15.112249786152884,2.308830348924057,182.683126728
2022-02-14-14-00-30,nonlinear_model,166.911515754,3602.133116722107,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-20-0.4-3.json,hop_tsiligirides-3-20-0.4-3,32,31,19,12,1340.0,43.2258064516129,27.894736842105264,67.5,0.0754176431181083,9.386695470404131,20.0,tsiligirides_hop,3,20,0.4,3,"0,21,13,27,19,3,23,0",230.0,0.725702242408224,19.76455190342496,98.8227595171248,6,2,17.16417910447761,19.35483870967742,33.333333333333336,35.0,45.0,0.0606718358591323,13.036686266610465,2.705778880852507,166.911682666
2022-02-14-10-52-15,nonlinear_model,95.0,700.7732956409454,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-30-0.2-3.json,hop_tsiligirides-1-30-0.2-3,31,30,24,6,385.0,12.833333333333334,9.791666666666666,25.0,0.0672470854588216,8.435870126384714,30.0,tsiligirides_hop,1,30,0.2,3,"0,27,26,30,25,19,18,20,10,9,8,12,0",95.0,1.0,29.35502752187574,97.8500917395858,11,0,24.675324675324678,36.66666666666666,0.0,8.636363636363637,0.0,0.0,15.452070861941968,0.0,95.0000950001
2022-02-14-12-04-11,nonlinear_model,200.0,7.386255264282227,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-23-0.3-4.json,hop_tsiligirides-2-23-0.3-4,20,19,14,5,960.0,50.526315789473685,20.0,136.0,0.0737020130009809,6.18210573440129,23.0,tsiligirides_hop,2,23,0.3,4,"0,12,13,10,9,7,1,2,3,4,5,6,0",200.0,1.0,22.81643331372721,99.201883972727,11,0,20.83333333333333,57.89473684210526,0.0,18.181818181818183,0.0,0.0,11.613339793655514,0.0,200.0002
2022-02-14-11-41-53,nonlinear_model,5.44646699186,3601.750028610229,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-50-0.4-5.json,hop_tsiligirides-1-50-0.4-5,31,30,18,12,725.0,24.166666666666668,9.72222222222222,45.833333333333336,0.080518235402921,8.435870126384714,50.0,tsiligirides_hop,1,50,0.4,5,"0,4,6,2,1,27,16,11,21,20,18,0",170.0,0.0320380411285641,49.92047306033312,99.84094612066625,10,2,23.448275862068964,33.333333333333336,20.0,8.75,50.0,0.0969519784127947,25.86800357722813,17.76200464733052,495.673088584
2022-02-14-10-50-06,nonlinear_model,110.0,571.9024622440338,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-30-0.2-4.json,hop_tsiligirides-1-30-0.2-4,31,30,24,6,450.0,15.0,9.583333333333334,36.66666666666666,0.0722951731108436,8.435870126384714,30.0,tsiligirides_hop,1,30,0.2,4,"0,18,19,11,20,21,22,24,25,30,26,27,0",110.0,1.0,29.4425720174127,98.141906724709,11,0,24.444444444444443,36.66666666666666,0.0,10.0,0.0,0.0,14.758578686467176,0.0,110.00011
