run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,obj_type,lift_mtz,add_vi1,add_vi2,add_vi3,add_vi4,integer_model,has_feasible_solution,original_obj,obj_bound
2022-08-23-15-05-27,nonlinear_model_with_vi1_liftMTZ,370.0,1260.9919128417969,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-45-0.4-2.json,hop_tsiligirides-3-45-0.4-2,32,31,19,12,1050.0,33.87096774193548,28.94736842105263,41.66666666666666,0.0759808458405288,9.386695470404131,45.0,tsiligirides_hop,3,45,0.4,2,"0,13,19,16,15,14,12,2,5,1,30,11,28,25,0",370.0,1.0,43.78315904843537,97.29590899652304,13,0,35.23809523809524,41.935483870967744,0.0,28.46153846153846,0.0,0.0,21.143266300849533,0.0,original,True,True,False,False,False,True,True,370.0,370.00037
2022-08-23-15-00-49,nonlinear_model_with_vi1_liftMTZ,580.0,409.7436468601227,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-70-0.2-4.json,hop_tsiligirides-3-70-0.2-4,32,31,25,6,1100.0,35.483870967741936,28.0,66.66666666666667,0.0780113420177719,9.386695470404131,70.0,tsiligirides_hop,3,70,0.2,4,"0,23,21,4,27,3,19,16,20,15,14,12,5,1,7,30,11,28,10,9,8,0",580.0,1.0,69.5756181609904,99.39374022998628,20,0,52.72727272727273,64.51612903225806,0.0,29.0,0.0,0.0,40.07000906274848,0.0,original,True,True,False,False,False,True,True,580.0,580.000580001
2022-08-23-14-46-05,nonlinear_model_with_vi1_liftMTZ,470.0,98.81979203224182,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-50-0.1-2.json,hop_tsiligirides-3-50-0.1-2,32,31,28,3,870.0,28.06451612903226,26.071428571428573,46.66666666666666,0.0648565049981987,9.386695470404131,50.0,tsiligirides_hop,3,50,0.1,2,"0,23,21,6,4,13,3,2,19,12,15,14,5,7,30,11,28,25,31,22,0",470.0,1.0,49.96163886516466,99.92327773032932,19,0,54.02298850574713,61.29032258064516,0.0,24.73684210526316,0.0,0.0,27.003163455359232,0.0,original,True,True,False,False,False,True,True,470.0,470.00047
2022-08-23-15-13-57,nonlinear_model_with_vi1_liftMTZ,502.97425725,1769.5477526187897,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-45-0.3-4.json,hop_tsiligirides-3-45-0.3-4,32,31,22,9,1460.0,47.096774193548384,26.363636363636363,97.77777777777776,0.0750668254085625,9.386695470404131,45.0,tsiligirides_hop,3,45,0.3,4,"0,29,28,30,7,1,5,12,15,16,19,3,13,27,4,21,23,0",600.0,0.8382904287500852,44.81421892005096,99.5871531556688,16,2,41.0958904109589,51.61290322580645,12.5,25.714285714285715,120.0,0.0706484175614212,21.057454072926195,1.415685424949236,original,True,True,False,False,False,True,True,502.9742572500511,502.974760225
2022-08-23-14-56-13,nonlinear_model_with_vi1_liftMTZ,650.0,39.57627606391907,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-75-0.1-4.json,hop_tsiligirides-3-75-0.1-4,32,31,28,3,1010.0,32.58064516129032,26.071428571428573,93.33333333333331,0.0889202619618146,9.386695470404131,75.0,tsiligirides_hop,3,75,0.1,4,"0,23,21,6,4,13,19,16,15,20,14,12,2,5,1,7,30,11,28,29,10,9,8,24,0",650.0,1.0,74.6912491271921,99.58833216958946,23,0,64.35643564356435,74.19354838709677,0.0,28.26086956521739,0.0,0.0,41.15568413272895,0.0,original,True,True,False,False,False,True,True,650.0,650.000650001
2022-08-23-14-06-35,nonlinear_model_with_vi1_liftMTZ,225.0,14.992499113082886,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-80-0.2-3.json,hop_tsiligirides-1-80-0.2-3,31,30,24,6,405.0,13.5,9.375,30.0,0.0921629950987002,8.435870126384714,80.0,tsiligirides_hop,1,80,0.2,3,"0,17,27,28,16,14,13,3,2,5,12,8,7,9,10,11,20,22,23,24,25,29,30,19,18,0",225.0,1.0,73.89697355300045,92.37121694125057,24,0,55.55555555555556,80.0,0.0,9.375,0.0,0.0,35.23958835264461,0.0,original,True,True,False,False,False,True,True,225.0,225.000225
2022-08-23-13-59-00,nonlinear_model_with_vi1_liftMTZ,250.0,42.33582091331482,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-75-0.1-3.json,hop_tsiligirides-1-75-0.1-3,31,30,27,3,335.0,11.166666666666666,9.62962962962963,25.0,0.0730050193438291,8.435870126384714,75.0,tsiligirides_hop,1,75,0.1,3,"0,18,26,25,30,29,24,23,21,20,11,10,8,7,1,2,6,5,4,3,13,14,15,16,28,27,0",250.0,1.0,73.69860537471791,98.26480716629057,25,0,74.6268656716418,83.33333333333333,0.0,10.0,0.0,0.0,37.66510029614221,0.0,original,True,True,False,False,False,True,True,250.0,250.00025
2022-08-23-14-13-17,nonlinear_model_with_vi1_liftMTZ,202.329632461,55.42352366447449,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-20-0.4-5.json,hop_tsiligirides-2-20-0.4-5,20,19,12,7,1190.0,62.63157894736842,22.08333333333333,132.14285714285714,0.0663915823758221,6.18210573440129,20.0,tsiligirides_hop,2,20,0.4,5,"0,11,6,5,2,7,8,9,13,12,0",250.0,0.8093185298443033,19.02739645852773,95.13698229263863,9,1,21.008403361344534,47.36842105263158,11.11111111111111,15.625,125.0,0.0819281999010379,10.481627242969912,2.5822940923926696,original,True,True,False,False,False,True,True,202.32963246107585,202.329834791
2022-08-23-15-19-02,nonlinear_model_with_vi1_liftMTZ,341.385009096,2476.874769449234,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-35-0.3-5.json,hop_tsiligirides-3-35-0.3-5,32,31,22,9,1640.0,52.903225806451616,26.818181818181817,116.66666666666669,0.078311014116004,9.386695470404131,35.0,tsiligirides_hop,3,35,0.3,5,"0,31,7,1,5,12,15,16,19,3,26,21,23,0",360.0,0.9482916919328456,34.82644427577558,99.50412650221594,12,1,21.951219512195124,38.70967741935484,8.333333333333334,28.181818181818183,50.0,0.0938562844305986,16.860564163763705,0.565685424949236,original,True,True,False,False,False,True,True,341.3850090958244,341.385350481
2022-08-23-14-43-11,nonlinear_model_with_vi1_liftMTZ,560.042533995,1036.484752893448,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-105-0.4-5.json,hop_tsiligirides-3-105-0.4-5,32,31,19,12,1840.0,59.354838709677416,28.42105263157895,108.33333333333331,0.067768656465126,9.386695470404131,105.0,tsiligirides_hop,3,105,0.4,5,"0,13,27,22,1,7,31,30,11,10,17,9,24,20,14,12,16,19,6,21,23,0",590.0,0.949224633889756,99.66460887142908,94.91867511564676,20,1,32.06521739130435,64.51612903225806,5.0,28.42105263157895,50.0,0.0921179867718011,53.15917349808672,0.565685424949236,original,True,True,False,False,False,True,True,560.0425339949561,560.043094038
